,ID,Burnout
0,0,Alto
1,1,Baixo
2,2,Moderado
3,3,Baixo
4,4,Burnout
5,5,Moderado
6,6,Burnout
7,7,Moderado
8,8,Alto
9,9,Alto
10,10,Moderado
11,11,Baixo
12,12,Moderado
13,13,Baixo
14,14,Moderado
15,15,Moderado
16,16,Moderado
17,17,Burnout
18,18,Moderado
19,19,Alto
20,20,Alto
21,21,Moderado
22,22,Moderado
23,23,Moderado
24,24,Burnout
25,25,Moderado
26,26,Alto
27,27,Alto
28,28,Alto
29,29,Moderado
30,30,Baixo
31,31,Baixo
32,32,Baixo
33,33,Alto
34,34,Burnout
35,35,Moderado
36,36,Moderado
37,37,Baixo
38,38,Moderado
39,39,Burnout
40,40,Moderado
41,41,Moderado
42,42,Alto
43,43,Moderado
44,44,Moderado
45,45,Baixo
46,46,Burnout
47,47,Moderado
48,48,Alto
49,49,Moderado
50,50,Alto
51,51,Moderado
52,52,Alto
53,53,Moderado
54,54,Alto
55,55,Moderado
56,56,Baixo
57,57,Alto
58,58,Baixo
59,59,Alto
60,60,Moderado
61,61,Alto
62,62,Alto
63,63,Moderado
64,64,Burnout
65,65,Burnout
66,66,Burnout
67,67,Burnout
68,68,Alto
69,69,Burnout
70,70,Moderado
71,71,Alto
72,72,Alto
73,73,Burnout
74,74,Moderado
75,75,Baixo
76,76,Burnout
77,77,Baixo
78,78,Baixo
79,79,Alto
80,80,Moderado
81,81,Baixo
82,82,Baixo
83,83,Baixo
84,84,Moderado
85,85,Moderado
86,86,Alto
87,87,Baixo
88,88,Alto
89,89,Alto
90,90,Moderado
91,91,Baixo
92,92,Burnout
93,93,Moderado
94,94,Moderado
95,95,Burnout
96,96,Moderado
97,97,Baixo
98,98,Moderado
99,99,Moderado
100,100,Alto
101,101,Burnout
102,102,Burnout
103,103,Burnout
104,104,Alto
105,105,Alto
106,106,Burnout
107,107,Burnout
108,108,Baixo
109,109,Moderado
110,110,Burnout
111,111,Burnout
112,112,Baixo
113,113,Moderado
114,114,Moderado
115,115,Alto
116,116,Baixo
117,117,Moderado
118,118,Alto
119,119,Moderado
120,120,Burnout
121,121,Burnout
122,122,Alto
123,123,Moderado
124,124,Alto
125,125,Moderado
126,126,Moderado
127,127,Alto
128,128,Alto
129,129,Moderado
130,130,Moderado
131,131,Moderado
132,132,Alto
133,133,Moderado
134,134,Burnout
135,135,Baixo
136,136,Moderado
137,137,Moderado
138,138,Baixo
139,139,Alto
140,140,Alto
141,141,Moderado
142,142,Burnout
143,143,Burnout
144,144,Alto
145,145,Baixo
146,146,Burnout
147,147,Alto
148,148,Moderado
149,149,Burnout
150,150,Burnout
151,151,Alto
152,152,Burnout
153,153,Moderado
154,154,Alto
155,155,Baixo
156,156,Alto
157,157,Burnout
158,158,Moderado
159,159,Moderado
160,160,Burnout
161,161,Moderado
162,162,Baixo
163,163,Baixo
164,164,Moderado
165,165,Baixo
166,166,Moderado
167,167,Moderado
168,168,Baixo
169,169,Moderado
170,170,Moderado
171,171,Baixo
172,172,Burnout
173,173,Alto
174,174,Burnout
175,175,Baixo
176,176,Moderado
177,177,Alto
178,178,Baixo
179,179,Burnout
180,180,Baixo
181,181,Baixo
182,182,Moderado
183,183,Moderado
184,184,Moderado
185,185,Alto
186,186,Baixo
187,187,Burnout
188,188,Moderado
189,189,Baixo
190,190,Alto
191,191,Burnout
192,192,Alto
193,193,Moderado
194,194,Moderado
195,195,Burnout
196,196,Moderado
197,197,Alto
198,198,Moderado
199,199,Burnout
200,200,Burnout
201,201,Alto
202,202,Moderado
203,203,Moderado
204,204,Moderado
205,205,Moderado
206,206,Baixo
207,207,Moderado
208,208,Baixo
209,209,Burnout
210,210,Alto
211,211,Alto
212,212,Moderado
213,213,Burnout
214,214,Alto
215,215,Moderado
216,216,Baixo
217,217,Alto
218,218,Burnout
219,219,Alto
220,220,Baixo
221,221,Baixo
222,222,Alto
223,223,Moderado
224,224,Moderado
225,225,Moderado
226,226,Moderado
227,227,Burnout
228,228,Burnout
229,229,Baixo
230,230,Moderado
231,231,Baixo
232,232,Baixo
233,233,Burnout
234,234,Baixo
235,235,Moderado
236,236,Moderado
237,237,Moderado
238,238,Baixo
239,239,Burnout
240,240,Moderado
241,241,Baixo
242,242,Baixo
243,243,Moderado
244,244,Burnout
245,245,Baixo
246,246,Moderado
247,247,Baixo
248,248,Moderado
249,249,Moderado
250,250,Baixo
251,251,Alto
252,252,Moderado
253,253,Alto
254,254,Alto
255,255,Moderado
256,256,Moderado
257,257,Alto
258,258,Moderado
259,259,Baixo
260,260,Alto
261,261,Burnout
262,262,Burnout
263,263,Burnout
264,264,Baixo
265,265,Moderado
266,266,Moderado
267,267,Moderado
268,268,Moderado
269,269,Moderado
270,270,Moderado
271,271,Moderado
272,272,Moderado
273,273,Moderado
274,274,Burnout
275,275,Moderado
276,276,Baixo
277,277,Burnout
278,278,Alto
279,279,Moderado
280,280,Moderado
281,281,Baixo
282,282,Burnout
283,283,Baixo
284,284,Burnout
285,285,Burnout
286,286,Baixo
287,287,Alto
288,288,Alto
289,289,Baixo
290,290,Burnout
291,291,Baixo
292,292,Baixo
293,293,Burnout
294,294,Moderado
295,295,Moderado
296,296,Alto
297,297,Alto
298,298,Baixo
299,299,Moderado
300,300,Burnout
301,301,Moderado
